Marca temporal,"¿Estás estudiando en algún colegio, universidad o instituto?",Escribe tu edad exacta,Sexo,Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [No discrimino y trato a todos por igual],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta comprar marcas que representen mi status],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me preocupa mucho el medio ambiente],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Estudio mucho, doy mi mayor esfuerzo]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Busco el éxito sin importar lo que deba sacrificar],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Trato de vestir sencillo para no presumir],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Creo que la vida se trata de tomar riesgos],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Busco hacer cosas emocionantes para no aburrirme],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [En mi casa, la familia es muy importante, por eso paso mucho tiempo con ellos]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Tener dinero es clave para ser respetado],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me cuesta mucho lidiar con gente que opina estupideces],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [La tradición y religión ayudan a distinguir lo bueno de lo malo],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [El dinero va y viene, trato de no cuidarlo mucho, más bien lo disfruto]","Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Hay que respetar a los adultos, aunque algunos no sean muy respetuosos]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta comer sano y estar en forma],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Vestirse bien es clave para el éxito ],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Soy sincero con las personas, aunque la verdad les duela]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me preocupo y ayudo a los necesitados],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Invierto mucho tiempo y dinero para aprender cosas nuevas],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta conocer gente y hacer nuevos amigos],"Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Soy una persona casera, prefiero estar en casa haciendo lo mío]","Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Prefiero hacer las cosas solo, me estresa trabajar en grupo]",Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me gusta tener muchos amigos y pasar tiempo con ellos],Según tu forma de ser ¿Cuál de las siguientes frases te describe mejor: [Me cuesta concentrarme porque me aburro rápido de las cosas],Cuando tenga 30 años me gustaría:,¿Cuánto tiempo has pasado en los últimos 7 días en TikTok? Si no lo las usado coloca 00:00,¿Cuánto tiempo has pasado en los últimos 7 días en Instagram? Si no lo las usado coloca 00:00,¿Cuánto tiempo has pasado en los últimos 7 días en Facebook? Si no lo las usado coloca 00:00,¿Cuánto tiempo has pasado en los últimos 7 días en YouTube? Si no lo las usado coloca 00:00
26/10/2021 21:34:58,Sí,23,Mujer,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,No lo sé,Un poco verdadero,No lo sé,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",5:36:00,2:11:00,1:16:00,0:00:00
26/10/2021 21:35:14,Sí,21,Mujer,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,Un poco falso,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco falso,Un poco falso,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,No lo sé,No lo sé,Un poco verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",2:08:00,2:37:00,0:33:00,0:05:00
26/10/2021 21:35:21,Sí,20,Mujer,Un poco falso,Un poco falso,Un poco falso,Totalmente falso,Totalmente falso,Totalmente falso,No lo sé,Un poco falso,No lo sé,Totalmente falso,Un poco falso,Un poco falso,Un poco falso,Un poco falso,Un poco falso,Totalmente falso,Un poco falso,Un poco falso,No lo sé,Un poco falso,No lo sé,Un poco falso,Un poco falso,No lo sé,"Estar soltero, muy enfocado en mis logros personales",0:18:00,3:53:00,0:12:00,0:12:00
26/10/2021 21:35:33,Sí,22,Mujer,Totalmente verdadero,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Totalmente verdadero,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",0:00:00,5:56:00,0:00:00,1:50:00
26/10/2021 21:35:58,Sí,20,Mujer,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Un poco falso,No lo sé,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",4:48:00,6:35:00,1:52:00,6:17:00
26/10/2021 21:36:01,Sí,20,Mujer,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente falso,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco falso,Un poco falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",1:01:00,1:14:00,0:11:00,0:25:00
26/10/2021 21:36:17,Sí,20,Mujer,Un poco verdadero,Totalmente falso,No lo sé,Un poco verdadero,Totalmente verdadero,Totalmente falso,Un poco verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente falso,Totalmente verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",2:13:00,6:40:00,2:32:00,0:00:00
26/10/2021 21:36:18,Sí,21,Mujer,No lo sé,No lo sé,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Totalmente falso,Un poco falso,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente falso,Un poco falso,Un poco verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",1:37:00,1:10:00,1:17:00,0:00:00
26/10/2021 21:36:20,Sí,20,Hombre,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente falso,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:49:00,0:49:00,0:28:00,2:26:00
26/10/2021 21:37:22,Sí,21,Mujer,No lo sé,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,No lo sé,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente falso,Totalmente verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",1:31:00,4:53:00,1:24:00,0:00:00
26/10/2021 21:38:13,Sí,21,Mujer,Totalmente verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,No lo sé,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",1:00:00,0:30:00,0:03:00,0:30:00
26/10/2021 21:38:24,Sí,21,Mujer,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,2:38:00,0:32:00,0:20:00
26/10/2021 21:38:36,Sí,21,Hombre,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",0:35:00,2:04:00,0:02:00,1:20:00
26/10/2021 21:39:32,Sí,21,Hombre,Totalmente verdadero,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente falso,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,No lo sé,Un poco falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",5:25:00,4:58:00,3:55:00,3:42:00
11/11/2021 15:24:43,Sí,20,Mujer,Totalmente verdadero,Totalmente falso,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco falso,Totalmente falso,"Estar soltero, muy enfocado en mis logros personales",0:00:00,0:01:00,0:00:00,0:05:00
11/11/2021 15:25:41,Sí,20,Mujer,Totalmente verdadero,Totalmente falso,No lo sé,Un poco verdadero,Un poco falso,Totalmente falso,No lo sé,No lo sé,Totalmente verdadero,Un poco falso,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,No lo sé,Totalmente falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",9:10:00,1:33:00,6:14:00,0:15:00
11/11/2021 15:26:33,Sí,25,Hombre,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Un poco falso,Totalmente verdadero,Un poco falso,Totalmente falso,Un poco verdadero,Totalmente falso,Un poco falso,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",0:00:00,0:00:00,0:00:00,7:00:00
11/11/2021 15:28:23,Sí,22,Hombre,Totalmente verdadero,Totalmente falso,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,No lo sé,Totalmente falso,No lo sé,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente falso,Un poco verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",4:00:00,7:00:00,2:00:00,10:00:00
11/11/2021 15:29:55,Sí,20,Mujer,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente falso,Un poco verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco falso,Totalmente verdadero,Totalmente falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",2:00:00,4:00:00,2:00:00,0:00:00
11/11/2021 15:31:10,Sí,21,Mujer,Totalmente verdadero,Un poco falso,Un poco verdadero,No lo sé,Un poco falso,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente falso,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,No lo sé,Totalmente falso,Un poco falso,Un poco falso,Un poco falso,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",8:18:00,1:56:00,8:09:00,2:00:00
11/11/2021 15:35:51,Sí,22,Hombre,Totalmente verdadero,Un poco falso,Totalmente falso,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco falso,No lo sé,Un poco verdadero,Un poco falso,Un poco verdadero,Totalmente falso,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco falso,No lo sé,No lo sé,Un poco verdadero,Totalmente falso,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",3:00:00,0:00:00,0:30:00,1:00:00
11/11/2021 15:36:20,Sí,20,Mujer,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",10:30:00,15:00:00,5:00:00,5:00:00
11/11/2021 15:36:48,Sí,20,Hombre,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Totalmente falso,No lo sé,Totalmente verdadero,No lo sé,No lo sé,Un poco falso,Un poco verdadero,No lo sé,Un poco falso,Un poco falso,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",15:03:00,5:20:00,5:03:00,3:00:00
11/11/2021 15:39:37,Sí,21,Mujer,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco falso,Un poco falso,Un poco falso,Un poco verdadero,Totalmente falso,Totalmente verdadero,Un poco falso,Un poco falso,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",8:00:00,2:00:00,1:00:00,0:00:00
11/11/2021 15:40:53,Sí,20,Mujer,Totalmente verdadero,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente verdadero,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente falso,Totalmente verdadero,"Estar soltero, muy enfocado en mis logros personales",5:00:00,1:00:00,0:00:00,3:00:00
11/11/2021 15:41:20,Sí,20,Mujer,Totalmente verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",0:00:00,2:00:00,5:00:00,3:00:00
11/11/2021 15:44:48,Sí,21,Hombre,Totalmente verdadero,Un poco falso,Totalmente verdadero,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente falso,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente falso,Un poco verdadero,Totalmente verdadero,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",4:00:00,6:00:00,6:00:00,16:00:00
11/11/2021 15:44:53,Sí,23,Hombre,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,No lo sé,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",10:00:00,20:00:00,15:00:00,10:00:00
11/11/2021 15:45:15,Sí,23,Hombre,Un poco verdadero,Totalmente falso,No lo sé,Un poco verdadero,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,No lo sé,Totalmente verdadero,Totalmente verdadero,No lo sé,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,1:38:00,1:07:00,0:59:00
11/11/2021 15:51:41,Sí,21,Hombre,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente falso,No lo sé,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco falso,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,No lo sé,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",8:08:00,7:21:00,5:01:00,0:17:00
11/11/2021 15:52:53,Sí,20,Mujer,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,No lo sé,No lo sé,Un poco falso,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",2:21:00,5:30:00,6:28:00,2:00:00
11/11/2021 15:56:29,Sí,21,Hombre,Totalmente verdadero,Un poco verdadero,No lo sé,Totalmente falso,No lo sé,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,Totalmente verdadero,No lo sé,No lo sé,Un poco verdadero,Totalmente falso,Un poco verdadero,No lo sé,No lo sé,No lo sé,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",8:37:00,0:37:00,2:07:00,0:53:00
11/11/2021 15:56:31,Sí,21,Mujer,Totalmente verdadero,Un poco falso,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco falso,Un poco verdadero,Un poco falso,Un poco falso,Un poco falso,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco falso,No lo sé,"Estar soltero, muy enfocado en mis logros personales",5:25:00,0:20:00,2:00:00,3:30:00
11/11/2021 16:00:26,Sí,21,Hombre,Totalmente verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,Totalmente falso,Totalmente verdadero,No lo sé,No lo sé,Totalmente verdadero,Un poco falso,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente falso,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",6:45:00,3:07:00,0:09:00,0:37:00
11/11/2021 16:01:38,Sí,20,Mujer,Totalmente verdadero,Totalmente falso,No lo sé,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente verdadero,Un poco falso,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,No lo sé,Un poco falso,Un poco verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",0:00:00,15:00:00,5:00:00,1:00:00
11/11/2021 16:13:27,Sí,23,Mujer,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,No lo sé,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco falso,No lo sé,Totalmente verdadero,Un poco verdadero,No lo sé,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",1:00:00,2:15:00,1:00:00,0:00:00
11/11/2021 16:59:21,Sí,21,Mujer,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente falso,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,No lo sé,Un poco falso,No lo sé,Un poco verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,1:00:00,10:00:00,10:00:00
11/11/2021 19:19:57,Sí,20,Mujer,Totalmente verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Totalmente falso,Totalmente falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,Un poco falso,Totalmente verdadero,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",0:00:00,1:00:00,23:00:00,23:00:00
12/02/2022 9:29:54,Sí,24,Mujer,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:00:00,1:00:00,2:00:00,9:00:00
10/08/2022 17:55:01,Sí,18,Mujer,Un poco verdadero,Un poco falso,No lo sé,Un poco verdadero,Totalmente falso,Un poco verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,No lo sé,No lo sé,Un poco verdadero,No lo sé,"Estar soltero, muy enfocado en mis logros personales",7:00:00,14:00:00,4:00:00,0:00:00
10/08/2022 17:56:10,Sí,19,Mujer,Totalmente verdadero,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Totalmente falso,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,No lo sé,Un poco falso,Un poco verdadero,Totalmente verdadero,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",0:25:00,2:09:00,0:00:00,0:00:00
10/08/2022 17:56:44,Sí,18,Mujer,Un poco verdadero,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco falso,Un poco verdadero,Un poco falso,No lo sé,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente falso,"Formar una familia, pues me daría una motivación extra para enfocarme en mis logros personales",3:28:00,1:34:00,0:05:00,0:09:00
10/08/2022 17:56:58,Sí,18,Mujer,Totalmente verdadero,Un poco falso,Un poco verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,No lo sé,Totalmente verdadero,Un poco verdadero,Un poco verdadero,Un poco verdadero,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,Un poco verdadero,Totalmente verdadero,No lo sé,No lo sé,Totalmente verdadero,No lo sé,"Estar soltero, muy enfocado en mis logros personales",1:00:00,2:00:00,1:00:00,0:00:00
10/08/2022 17:57:06,Sí,18,Hombre,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco falso,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco falso,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,Un poco verdadero,No lo sé,Un poco verdadero,"Estar soltero, muy enfocado en mis logros personales",8:00:00,9:00:00,0:00:00,4:00:00
10/08/2022 17:57:24,Sí,24,Hombre,Totalmente verdadero,No lo sé,Un poco verdadero,No lo sé,Totalmente falso,No lo sé,Totalmente verdadero,No lo sé,Un poco verdadero,Un poco falso,Totalmente verdadero,Totalmente falso,Totalmente falso,Un poco verdadero,Un poco falso,Un poco falso,Totalmente verdadero,Un poco falso,Totalmente verdadero,Totalmente verdadero,No lo sé,No lo sé,No lo sé,Un poco falso,"Estar soltero, muy enfocado en mis logros personales",8:00:00,5:00:00,5:00:00,2:00:00
